train,val,test
normal_138,normal_021,test_001
normal_052,normal_028,test_002
tumor_064,normal_029,test_003
normal_072,normal_034,test_004
normal_058,normal_041,test_005
normal_070,normal_044,test_006
tumor_076,normal_051,test_007
tumor_078,normal_054,test_008
tumor_104,normal_062,test_009
tumor_106,normal_066,test_010
tumor_014,normal_067,test_011
tumor_031,normal_068,test_012
tumor_071,normal_091,test_013
tumor_108,normal_095,test_014
tumor_009,normal_100,test_015
normal_131,normal_103,test_016
tumor_058,normal_106,test_017
normal_047,normal_120,test_018
normal_142,normal_122,test_019
normal_126,normal_127,test_020
tumor_039,normal_129,test_021
tumor_109,normal_134,test_022
tumor_061,normal_141,test_023
tumor_072,normal_146,test_024
tumor_102,normal_147,test_025
normal_016,normal_151,test_026
normal_045,normal_153,test_027
normal_083,normal_154,test_028
normal_043,normal_156,test_029
tumor_105,normal_157,test_030
tumor_052,normal_159,test_031
normal_048,tumor_007,test_032
normal_113,tumor_011,test_033
normal_064,tumor_019,test_034
normal_003,tumor_020,test_035
normal_017,tumor_021,test_036
tumor_101,tumor_025,test_037
normal_110,tumor_026,test_038
normal_037,tumor_029,test_039
normal_055,tumor_034,test_040
tumor_088,tumor_037,test_041
tumor_036,tumor_041,test_042
normal_160,tumor_046,test_043
normal_035,tumor_047,test_044
normal_061,tumor_049,test_045
normal_145,tumor_054,test_046
normal_111,tumor_056,test_047
tumor_016,tumor_068,test_048
,tumor_074,test_050
,tumor_082,test_051
,tumor_089,test_052
,tumor_090,test_053
,tumor_093,test_054
,tumor_094,test_055
,,test_056
,,test_057
,,test_058
,,test_059
,,test_060
,,test_061
,,test_062
,,test_063
,,test_064
,,test_065
,,test_066
,,test_067
,,test_068
,,test_069
,,test_070
,,test_071
,,test_072
,,test_073
,,test_074
,,test_075
,,test_076
,,test_077
,,test_078
,,test_079
,,test_080
,,test_081
,,test_082
,,test_083
,,test_084
,,test_085
,,test_086
,,test_087
,,test_088
,,test_089
,,test_090
,,test_091
,,test_092
,,test_093
,,test_094
,,test_095
,,test_096
,,test_097
,,test_098
,,test_099
,,test_100
,,test_101
,,test_102
,,test_103
,,test_104
,,test_105
,,test_106
,,test_107
,,test_108
,,test_109
,,test_110
,,test_111
,,test_112
,,test_113
,,test_114
,,test_115
,,test_116
,,test_117
,,test_118
,,test_119
,,test_120
,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
