train,val,test
normal_155,normal_021,test_001
tumor_058,normal_028,test_002
tumor_101,normal_029,test_003
normal_075,normal_034,test_004
tumor_064,normal_041,test_005
normal_050,normal_044,test_006
normal_152,normal_051,test_007
normal_071,normal_054,test_008
tumor_088,normal_062,test_009
tumor_016,normal_066,test_010
normal_060,normal_067,test_011
normal_113,normal_068,test_012
normal_040,normal_091,test_013
tumor_078,normal_095,test_014
tumor_102,normal_100,test_015
normal_055,normal_103,test_016
tumor_039,normal_106,test_017
tumor_076,normal_120,test_018
tumor_009,normal_122,test_019
tumor_031,normal_127,test_020
normal_094,normal_129,test_021
normal_004,normal_134,test_022
normal_098,normal_141,test_023
normal_149,normal_146,test_024
,normal_147,test_025
,normal_151,test_026
,normal_153,test_027
,normal_154,test_028
,normal_156,test_029
,normal_157,test_030
,normal_159,test_031
,tumor_007,test_032
,tumor_011,test_033
,tumor_019,test_034
,tumor_020,test_035
,tumor_021,test_036
,tumor_025,test_037
,tumor_026,test_038
,tumor_029,test_039
,tumor_034,test_040
,tumor_037,test_041
,tumor_041,test_042
,tumor_046,test_043
,tumor_047,test_044
,tumor_049,test_045
,tumor_054,test_046
,tumor_056,test_047
,tumor_068,test_048
,tumor_074,test_050
,tumor_082,test_051
,tumor_089,test_052
,tumor_090,test_053
,tumor_093,test_054
,tumor_094,test_055
,,test_056
,,test_057
,,test_058
,,test_059
,,test_060
,,test_061
,,test_062
,,test_063
,,test_064
,,test_065
,,test_066
,,test_067
,,test_068
,,test_069
,,test_070
,,test_071
,,test_072
,,test_073
,,test_074
,,test_075
,,test_076
,,test_077
,,test_078
,,test_079
,,test_080
,,test_081
,,test_082
,,test_083
,,test_084
,,test_085
,,test_086
,,test_087
,,test_088
,,test_089
,,test_090
,,test_091
,,test_092
,,test_093
,,test_094
,,test_095
,,test_096
,,test_097
,,test_098
,,test_099
,,test_100
,,test_101
,,test_102
,,test_103
,,test_104
,,test_105
,,test_106
,,test_107
,,test_108
,,test_109
,,test_110
,,test_111
,,test_112
,,test_113
,,test_114
,,test_115
,,test_116
,,test_117
,,test_118
,,test_119
,,test_120
,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
