train,val,test
tumor_039,normal_010,test_001
tumor_078,normal_014,test_002
normal_137,normal_019,test_003
normal_123,normal_020,test_004
tumor_009,normal_031,test_005
normal_073,normal_032,test_006
tumor_082,normal_033,test_007
tumor_047,normal_036,test_008
tumor_026,normal_042,test_009
normal_119,normal_043,test_010
normal_018,normal_046,test_011
normal_097,normal_050,test_012
normal_015,normal_065,test_013
normal_126,normal_069,test_014
normal_002,normal_071,test_015
normal_159,normal_072,test_016
normal_007,normal_075,test_017
normal_146,normal_083,test_018
tumor_089,normal_084,test_019
normal_116,normal_085,test_020
tumor_090,normal_094,test_021
tumor_102,normal_101,test_022
tumor_058,normal_102,test_023
tumor_068,normal_105,test_024
,normal_107,test_025
,normal_112,test_026
,normal_118,test_027
,normal_121,test_028
,normal_130,test_029
,normal_131,test_030
,normal_143,test_031
,normal_148,test_032
,tumor_001,test_033
,tumor_002,test_034
,tumor_014,test_035
,tumor_031,test_036
,tumor_032,test_037
,tumor_044,test_038
,tumor_045,test_039
,tumor_052,test_040
,tumor_059,test_041
,tumor_060,test_042
,tumor_061,test_043
,tumor_065,test_044
,tumor_076,test_045
,tumor_081,test_046
,tumor_083,test_047
,tumor_084,test_048
,tumor_088,test_050
,tumor_098,test_051
,tumor_100,test_052
,tumor_101,test_053
,tumor_107,test_054
,tumor_110,test_055
,,test_056
,,test_057
,,test_058
,,test_059
,,test_060
,,test_061
,,test_062
,,test_063
,,test_064
,,test_065
,,test_066
,,test_067
,,test_068
,,test_069
,,test_070
,,test_071
,,test_072
,,test_073
,,test_074
,,test_075
,,test_076
,,test_077
,,test_078
,,test_079
,,test_080
,,test_081
,,test_082
,,test_083
,,test_084
,,test_085
,,test_086
,,test_087
,,test_088
,,test_089
,,test_090
,,test_091
,,test_092
,,test_093
,,test_094
,,test_095
,,test_096
,,test_097
,,test_098
,,test_099
,,test_100
,,test_101
,,test_102
,,test_103
,,test_104
,,test_105
,,test_106
,,test_107
,,test_108
,,test_109
,,test_110
,,test_111
,,test_112
,,test_113
,,test_114
,,test_115
,,test_116
,,test_117
,,test_118
,,test_119
,,test_120
,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
