train,val,test
normal_095,normal_004,test_001
tumor_082,normal_005,test_002
tumor_039,normal_011,test_003
normal_112,normal_012,test_004
normal_120,normal_013,test_005
normal_069,normal_016,test_006
tumor_090,normal_017,test_007
normal_151,normal_025,test_008
normal_128,normal_030,test_009
tumor_068,normal_038,test_010
tumor_076,normal_047,test_011
normal_072,normal_053,test_012
normal_111,normal_056,test_013
normal_090,normal_059,test_014
tumor_102,normal_076,test_015
normal_127,normal_078,test_016
tumor_026,normal_079,test_017
tumor_047,normal_082,test_018
normal_134,normal_087,test_019
normal_021,normal_093,test_020
normal_075,normal_098,test_021
tumor_089,normal_104,test_022
tumor_078,normal_108,test_023
tumor_011,normal_110,test_024
,normal_113,test_025
,normal_116,test_026
,normal_125,test_027
,normal_142,test_028
,normal_144,test_029
,normal_152,test_030
,normal_155,test_031
,normal_158,test_032
,tumor_003,test_033
,tumor_008,test_034
,tumor_009,test_035
,tumor_010,test_036
,tumor_022,test_037
,tumor_023,test_038
,tumor_028,test_039
,tumor_035,test_040
,tumor_051,test_041
,tumor_055,test_042
,tumor_058,test_043
,tumor_067,test_044
,tumor_070,test_045
,tumor_071,test_046
,tumor_077,test_047
,tumor_080,test_048
,tumor_087,test_050
,tumor_091,test_051
,tumor_092,test_052
,tumor_099,test_053
,tumor_105,test_054
,tumor_106,test_055
,,test_056
,,test_057
,,test_058
,,test_059
,,test_060
,,test_061
,,test_062
,,test_063
,,test_064
,,test_065
,,test_066
,,test_067
,,test_068
,,test_069
,,test_070
,,test_071
,,test_072
,,test_073
,,test_074
,,test_075
,,test_076
,,test_077
,,test_078
,,test_079
,,test_080
,,test_081
,,test_082
,,test_083
,,test_084
,,test_085
,,test_086
,,test_087
,,test_088
,,test_089
,,test_090
,,test_091
,,test_092
,,test_093
,,test_094
,,test_095
,,test_096
,,test_097
,,test_098
,,test_099
,,test_100
,,test_101
,,test_102
,,test_103
,,test_104
,,test_105
,,test_106
,,test_107
,,test_108
,,test_109
,,test_110
,,test_111
,,test_112
,,test_113
,,test_114
,,test_115
,,test_116
,,test_117
,,test_118
,,test_119
,,test_120
,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
