train,val,test
tumor_047,normal_002,test_001
tumor_009,normal_007,test_002
tumor_102,normal_009,test_003
tumor_082,normal_015,test_004
tumor_089,normal_018,test_005
normal_028,normal_022,test_006
normal_137,normal_023,test_007
tumor_090,normal_035,test_008
normal_104,normal_037,test_009
normal_043,normal_039,test_010
normal_099,normal_040,test_011
normal_144,normal_049,test_012
normal_019,normal_058,test_013
tumor_026,normal_061,test_014
normal_026,normal_063,test_015
normal_146,normal_064,test_016
tumor_011,normal_077,test_017
normal_132,normal_080,test_018
tumor_068,normal_081,test_019
tumor_076,normal_089,test_020
normal_122,normal_090,test_021
normal_032,normal_092,test_022
normal_135,normal_111,test_023
tumor_058,normal_114,test_024
,normal_117,test_025
,normal_123,test_026
,normal_133,test_027
,normal_136,test_028
,normal_138,test_029
,normal_139,test_030
,normal_145,test_031
,normal_160,test_032
,tumor_004,test_033
,tumor_012,test_034
,tumor_016,test_035
,tumor_018,test_036
,tumor_027,test_037
,tumor_036,test_038
,tumor_039,test_039
,tumor_040,test_040
,tumor_043,test_041
,tumor_048,test_042
,tumor_053,test_043
,tumor_064,test_044
,tumor_066,test_045
,tumor_069,test_046
,tumor_073,test_047
,tumor_075,test_048
,tumor_078,test_050
,tumor_085,test_051
,tumor_095,test_052
,tumor_097,test_053
,tumor_103,test_054
,tumor_109,test_055
,,test_056
,,test_057
,,test_058
,,test_059
,,test_060
,,test_061
,,test_062
,,test_063
,,test_064
,,test_065
,,test_066
,,test_067
,,test_068
,,test_069
,,test_070
,,test_071
,,test_072
,,test_073
,,test_074
,,test_075
,,test_076
,,test_077
,,test_078
,,test_079
,,test_080
,,test_081
,,test_082
,,test_083
,,test_084
,,test_085
,,test_086
,,test_087
,,test_088
,,test_089
,,test_090
,,test_091
,,test_092
,,test_093
,,test_094
,,test_095
,,test_096
,,test_097
,,test_098
,,test_099
,,test_100
,,test_101
,,test_102
,,test_103
,,test_104
,,test_105
,,test_106
,,test_107
,,test_108
,,test_109
,,test_110
,,test_111
,,test_112
,,test_113
,,test_114
,,test_115
,,test_116
,,test_117
,,test_118
,,test_119
,,test_120
,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
