,train,val,test
0,normal_001,normal_002,test_001
1,normal_003,normal_007,test_002
2,normal_004,normal_009,test_003
3,normal_005,normal_015,test_004
4,normal_006,normal_018,test_005
5,normal_008,normal_022,test_006
6,normal_010,normal_023,test_007
7,normal_011,normal_035,test_008
8,normal_012,normal_037,test_009
9,normal_013,normal_039,test_010
10,normal_014,normal_040,test_011
11,normal_016,normal_049,test_012
12,normal_017,normal_058,test_013
13,normal_019,normal_061,test_014
14,normal_020,normal_063,test_015
15,normal_021,normal_064,test_016
16,normal_024,normal_077,test_017
17,normal_025,normal_080,test_018
18,normal_026,normal_081,test_019
19,normal_027,normal_089,test_020
20,normal_028,normal_090,test_021
21,normal_029,normal_092,test_022
22,normal_030,normal_111,test_023
23,normal_031,normal_114,test_024
24,normal_032,normal_117,test_025
25,normal_033,normal_123,test_026
26,normal_034,normal_133,test_027
27,normal_036,normal_136,test_028
28,normal_038,normal_138,test_029
29,normal_041,normal_139,test_030
30,normal_042,normal_145,test_031
31,normal_043,normal_160,test_032
32,normal_044,tumor_004,test_033
33,normal_045,tumor_012,test_034
34,normal_046,tumor_016,test_035
35,normal_047,tumor_018,test_036
36,normal_048,tumor_027,test_037
37,normal_050,tumor_036,test_038
38,normal_051,tumor_039,test_039
39,normal_052,tumor_040,test_040
40,normal_053,tumor_043,test_041
41,normal_054,tumor_048,test_042
42,normal_055,tumor_053,test_043
43,normal_056,tumor_064,test_044
44,normal_057,tumor_066,test_045
45,normal_059,tumor_069,test_046
46,normal_060,tumor_073,test_047
47,normal_062,tumor_075,test_048
48,normal_065,tumor_078,test_050
49,normal_066,tumor_085,test_051
50,normal_067,tumor_095,test_052
51,normal_068,tumor_097,test_053
52,normal_069,tumor_103,test_054
53,normal_070,tumor_109,test_055
54,normal_071,,test_056
55,normal_072,,test_057
56,normal_073,,test_058
57,normal_074,,test_059
58,normal_075,,test_060
59,normal_076,,test_061
60,normal_078,,test_062
61,normal_079,,test_063
62,normal_082,,test_064
63,normal_083,,test_065
64,normal_084,,test_066
65,normal_085,,test_067
66,normal_087,,test_068
67,normal_088,,test_069
68,normal_091,,test_070
69,normal_093,,test_071
70,normal_094,,test_072
71,normal_095,,test_073
72,normal_096,,test_074
73,normal_097,,test_075
74,normal_098,,test_076
75,normal_099,,test_077
76,normal_100,,test_078
77,normal_101,,test_079
78,normal_102,,test_080
79,normal_103,,test_081
80,normal_104,,test_082
81,normal_105,,test_083
82,normal_106,,test_084
83,normal_107,,test_085
84,normal_108,,test_086
85,normal_109,,test_087
86,normal_110,,test_088
87,normal_112,,test_089
88,normal_113,,test_090
89,normal_115,,test_091
90,normal_116,,test_092
91,normal_118,,test_093
92,normal_119,,test_094
93,normal_120,,test_095
94,normal_121,,test_096
95,normal_122,,test_097
96,normal_124,,test_098
97,normal_125,,test_099
98,normal_126,,test_100
99,normal_127,,test_101
100,normal_128,,test_102
101,normal_129,,test_103
102,normal_130,,test_104
103,normal_131,,test_105
104,normal_132,,test_106
105,normal_134,,test_107
106,normal_135,,test_108
107,normal_137,,test_109
108,normal_140,,test_110
109,normal_141,,test_111
110,normal_142,,test_112
111,normal_143,,test_113
112,normal_144,,test_114
113,normal_146,,test_115
114,normal_147,,test_116
115,normal_148,,test_117
116,normal_149,,test_118
117,normal_150,,test_119
118,normal_151,,test_120
119,normal_152,,test_121
120,normal_153,,test_122
121,normal_154,,test_123
122,normal_155,,test_124
123,normal_156,,test_125
124,normal_157,,test_126
125,normal_158,,test_127
126,normal_159,,test_128
127,tumor_001,,test_129
128,tumor_002,,test_130
129,tumor_003,,
130,tumor_005,,
131,tumor_006,,
132,tumor_007,,
133,tumor_008,,
134,tumor_009,,
135,tumor_010,,
136,tumor_011,,
137,tumor_013,,
138,tumor_014,,
139,tumor_015,,
140,tumor_017,,
141,tumor_019,,
142,tumor_020,,
143,tumor_021,,
144,tumor_022,,
145,tumor_023,,
146,tumor_024,,
147,tumor_025,,
148,tumor_026,,
149,tumor_028,,
150,tumor_029,,
151,tumor_030,,
152,tumor_031,,
153,tumor_032,,
154,tumor_033,,
155,tumor_034,,
156,tumor_035,,
157,tumor_037,,
158,tumor_038,,
159,tumor_041,,
160,tumor_042,,
161,tumor_044,,
162,tumor_045,,
163,tumor_046,,
164,tumor_047,,
165,tumor_049,,
166,tumor_050,,
167,tumor_051,,
168,tumor_052,,
169,tumor_054,,
170,tumor_055,,
171,tumor_056,,
172,tumor_057,,
173,tumor_058,,
174,tumor_059,,
175,tumor_060,,
176,tumor_061,,
177,tumor_062,,
178,tumor_063,,
179,tumor_065,,
180,tumor_067,,
181,tumor_068,,
182,tumor_070,,
183,tumor_071,,
184,tumor_072,,
185,tumor_074,,
186,tumor_076,,
187,tumor_077,,
188,tumor_079,,
189,tumor_080,,
190,tumor_081,,
191,tumor_082,,
192,tumor_083,,
193,tumor_084,,
194,tumor_086,,
195,tumor_087,,
196,tumor_088,,
197,tumor_089,,
198,tumor_090,,
199,tumor_091,,
200,tumor_092,,
201,tumor_093,,
202,tumor_094,,
203,tumor_096,,
204,tumor_098,,
205,tumor_099,,
206,tumor_100,,
207,tumor_101,,
208,tumor_102,,
209,tumor_104,,
210,tumor_105,,
211,tumor_106,,
212,tumor_107,,
213,tumor_108,,
214,tumor_110,,
215,tumor_111,,
