,train,val,test
0,normal_001,normal_010,test_001
1,normal_002,normal_014,test_002
2,normal_003,normal_019,test_003
3,normal_004,normal_020,test_004
4,normal_005,normal_031,test_005
5,normal_006,normal_032,test_006
6,normal_007,normal_033,test_007
7,normal_008,normal_036,test_008
8,normal_009,normal_042,test_009
9,normal_011,normal_043,test_010
10,normal_012,normal_046,test_011
11,normal_013,normal_050,test_012
12,normal_015,normal_065,test_013
13,normal_016,normal_069,test_014
14,normal_017,normal_071,test_015
15,normal_018,normal_072,test_016
16,normal_021,normal_075,test_017
17,normal_022,normal_083,test_018
18,normal_023,normal_084,test_019
19,normal_024,normal_085,test_020
20,normal_025,normal_094,test_021
21,normal_026,normal_101,test_022
22,normal_027,normal_102,test_023
23,normal_028,normal_105,test_024
24,normal_029,normal_107,test_025
25,normal_030,normal_112,test_026
26,normal_034,normal_118,test_027
27,normal_035,normal_121,test_028
28,normal_037,normal_130,test_029
29,normal_038,normal_131,test_030
30,normal_039,normal_143,test_031
31,normal_040,normal_148,test_032
32,normal_041,tumor_001,test_033
33,normal_044,tumor_002,test_034
34,normal_045,tumor_014,test_035
35,normal_047,tumor_031,test_036
36,normal_048,tumor_032,test_037
37,normal_049,tumor_044,test_038
38,normal_051,tumor_045,test_039
39,normal_052,tumor_052,test_040
40,normal_053,tumor_059,test_041
41,normal_054,tumor_060,test_042
42,normal_055,tumor_061,test_043
43,normal_056,tumor_065,test_044
44,normal_057,tumor_076,test_045
45,normal_058,tumor_081,test_046
46,normal_059,tumor_083,test_047
47,normal_060,tumor_084,test_048
48,normal_061,tumor_088,test_050
49,normal_062,tumor_098,test_051
50,normal_063,tumor_100,test_052
51,normal_064,tumor_101,test_053
52,normal_066,tumor_107,test_054
53,normal_067,tumor_110,test_055
54,normal_068,,test_056
55,normal_070,,test_057
56,normal_073,,test_058
57,normal_074,,test_059
58,normal_076,,test_060
59,normal_077,,test_061
60,normal_078,,test_062
61,normal_079,,test_063
62,normal_080,,test_064
63,normal_081,,test_065
64,normal_082,,test_066
65,normal_087,,test_067
66,normal_088,,test_068
67,normal_089,,test_069
68,normal_090,,test_070
69,normal_091,,test_071
70,normal_092,,test_072
71,normal_093,,test_073
72,normal_095,,test_074
73,normal_096,,test_075
74,normal_097,,test_076
75,normal_098,,test_077
76,normal_099,,test_078
77,normal_100,,test_079
78,normal_103,,test_080
79,normal_104,,test_081
80,normal_106,,test_082
81,normal_108,,test_083
82,normal_109,,test_084
83,normal_110,,test_085
84,normal_111,,test_086
85,normal_113,,test_087
86,normal_114,,test_088
87,normal_115,,test_089
88,normal_116,,test_090
89,normal_117,,test_091
90,normal_119,,test_092
91,normal_120,,test_093
92,normal_122,,test_094
93,normal_123,,test_095
94,normal_124,,test_096
95,normal_125,,test_097
96,normal_126,,test_098
97,normal_127,,test_099
98,normal_128,,test_100
99,normal_129,,test_101
100,normal_132,,test_102
101,normal_133,,test_103
102,normal_134,,test_104
103,normal_135,,test_105
104,normal_136,,test_106
105,normal_137,,test_107
106,normal_138,,test_108
107,normal_139,,test_109
108,normal_140,,test_110
109,normal_141,,test_111
110,normal_142,,test_112
111,normal_144,,test_113
112,normal_145,,test_114
113,normal_146,,test_115
114,normal_147,,test_116
115,normal_149,,test_117
116,normal_150,,test_118
117,normal_151,,test_119
118,normal_152,,test_120
119,normal_153,,test_121
120,normal_154,,test_122
121,normal_155,,test_123
122,normal_156,,test_124
123,normal_157,,test_125
124,normal_158,,test_126
125,normal_159,,test_127
126,normal_160,,test_128
127,tumor_003,,test_129
128,tumor_004,,test_130
129,tumor_005,,
130,tumor_006,,
131,tumor_007,,
132,tumor_008,,
133,tumor_009,,
134,tumor_010,,
135,tumor_011,,
136,tumor_012,,
137,tumor_013,,
138,tumor_015,,
139,tumor_016,,
140,tumor_017,,
141,tumor_018,,
142,tumor_019,,
143,tumor_020,,
144,tumor_021,,
145,tumor_022,,
146,tumor_023,,
147,tumor_024,,
148,tumor_025,,
149,tumor_026,,
150,tumor_027,,
151,tumor_028,,
152,tumor_029,,
153,tumor_030,,
154,tumor_033,,
155,tumor_034,,
156,tumor_035,,
157,tumor_036,,
158,tumor_037,,
159,tumor_038,,
160,tumor_039,,
161,tumor_040,,
162,tumor_041,,
163,tumor_042,,
164,tumor_043,,
165,tumor_046,,
166,tumor_047,,
167,tumor_048,,
168,tumor_049,,
169,tumor_050,,
170,tumor_051,,
171,tumor_053,,
172,tumor_054,,
173,tumor_055,,
174,tumor_056,,
175,tumor_057,,
176,tumor_058,,
177,tumor_062,,
178,tumor_063,,
179,tumor_064,,
180,tumor_066,,
181,tumor_067,,
182,tumor_068,,
183,tumor_069,,
184,tumor_070,,
185,tumor_071,,
186,tumor_072,,
187,tumor_073,,
188,tumor_074,,
189,tumor_075,,
190,tumor_077,,
191,tumor_078,,
192,tumor_079,,
193,tumor_080,,
194,tumor_082,,
195,tumor_085,,
196,tumor_086,,
197,tumor_087,,
198,tumor_089,,
199,tumor_090,,
200,tumor_091,,
201,tumor_092,,
202,tumor_093,,
203,tumor_094,,
204,tumor_095,,
205,tumor_096,,
206,tumor_097,,
207,tumor_099,,
208,tumor_102,,
209,tumor_103,,
210,tumor_104,,
211,tumor_105,,
212,tumor_106,,
213,tumor_108,,
214,tumor_109,,
215,tumor_111,,
