,train,val,test
0,normal_002,normal_001,test_001
1,normal_004,normal_003,test_002
2,normal_005,normal_006,test_003
3,normal_007,normal_008,test_004
4,normal_009,normal_024,test_005
5,normal_010,normal_026,test_006
6,normal_011,normal_027,test_007
7,normal_012,normal_045,test_008
8,normal_013,normal_048,test_009
9,normal_014,normal_052,test_010
10,normal_015,normal_055,test_011
11,normal_016,normal_057,test_012
12,normal_017,normal_060,test_013
13,normal_018,normal_070,test_014
14,normal_019,normal_073,test_015
15,normal_020,normal_074,test_016
16,normal_021,normal_088,test_017
17,normal_022,normal_096,test_018
18,normal_023,normal_097,test_019
19,normal_025,normal_099,test_020
20,normal_028,normal_109,test_021
21,normal_029,normal_115,test_022
22,normal_030,normal_119,test_023
23,normal_031,normal_124,test_024
24,normal_032,normal_126,test_025
25,normal_033,normal_128,test_026
26,normal_034,normal_132,test_027
27,normal_035,normal_135,test_028
28,normal_036,normal_137,test_029
29,normal_037,normal_140,test_030
30,normal_038,normal_149,test_031
31,normal_039,normal_150,test_032
32,normal_040,tumor_005,test_033
33,normal_041,tumor_006,test_034
34,normal_042,tumor_013,test_035
35,normal_043,tumor_015,test_036
36,normal_044,tumor_017,test_037
37,normal_046,tumor_024,test_038
38,normal_047,tumor_030,test_039
39,normal_049,tumor_033,test_040
40,normal_050,tumor_038,test_041
41,normal_051,tumor_042,test_042
42,normal_053,tumor_050,test_043
43,normal_054,tumor_057,test_044
44,normal_056,tumor_062,test_045
45,normal_058,tumor_063,test_046
46,normal_059,tumor_072,test_047
47,normal_061,tumor_079,test_048
48,normal_062,tumor_086,test_050
49,normal_063,tumor_096,test_051
50,normal_064,tumor_102,test_052
51,normal_065,tumor_104,test_053
52,normal_066,tumor_108,test_054
53,normal_067,tumor_111,test_055
54,normal_068,,test_056
55,normal_069,,test_057
56,normal_071,,test_058
57,normal_072,,test_059
58,normal_075,,test_060
59,normal_076,,test_061
60,normal_077,,test_062
61,normal_078,,test_063
62,normal_079,,test_064
63,normal_080,,test_065
64,normal_081,,test_066
65,normal_082,,test_067
66,normal_083,,test_068
67,normal_084,,test_069
68,normal_085,,test_070
69,normal_087,,test_071
70,normal_089,,test_072
71,normal_090,,test_073
72,normal_091,,test_074
73,normal_092,,test_075
74,normal_093,,test_076
75,normal_094,,test_077
76,normal_095,,test_078
77,normal_098,,test_079
78,normal_100,,test_080
79,normal_101,,test_081
80,normal_102,,test_082
81,normal_103,,test_083
82,normal_104,,test_084
83,normal_105,,test_085
84,normal_106,,test_086
85,normal_107,,test_087
86,normal_108,,test_088
87,normal_110,,test_089
88,normal_111,,test_090
89,normal_112,,test_091
90,normal_113,,test_092
91,normal_114,,test_093
92,normal_116,,test_094
93,normal_117,,test_095
94,normal_118,,test_096
95,normal_120,,test_097
96,normal_121,,test_098
97,normal_122,,test_099
98,normal_123,,test_100
99,normal_125,,test_101
100,normal_127,,test_102
101,normal_129,,test_103
102,normal_130,,test_104
103,normal_131,,test_105
104,normal_133,,test_106
105,normal_134,,test_107
106,normal_136,,test_108
107,normal_138,,test_109
108,normal_139,,test_110
109,normal_141,,test_111
110,normal_142,,test_112
111,normal_143,,test_113
112,normal_144,,test_114
113,normal_145,,test_115
114,normal_146,,test_116
115,normal_147,,test_117
116,normal_148,,test_118
117,normal_151,,test_119
118,normal_152,,test_120
119,normal_153,,test_121
120,normal_154,,test_122
121,normal_155,,test_123
122,normal_156,,test_124
123,normal_157,,test_125
124,normal_158,,test_126
125,normal_159,,test_127
126,normal_160,,test_128
127,tumor_001,,test_129
128,tumor_002,,test_130
129,tumor_003,,
130,tumor_004,,
131,tumor_007,,
132,tumor_008,,
133,tumor_009,,
134,tumor_010,,
135,tumor_011,,
136,tumor_012,,
137,tumor_014,,
138,tumor_016,,
139,tumor_018,,
140,tumor_019,,
141,tumor_020,,
142,tumor_021,,
143,tumor_022,,
144,tumor_023,,
145,tumor_025,,
146,tumor_026,,
147,tumor_027,,
148,tumor_028,,
149,tumor_029,,
150,tumor_031,,
151,tumor_032,,
152,tumor_034,,
153,tumor_035,,
154,tumor_036,,
155,tumor_037,,
156,tumor_039,,
157,tumor_040,,
158,tumor_041,,
159,tumor_043,,
160,tumor_044,,
161,tumor_045,,
162,tumor_046,,
163,tumor_047,,
164,tumor_048,,
165,tumor_049,,
166,tumor_051,,
167,tumor_052,,
168,tumor_053,,
169,tumor_054,,
170,tumor_055,,
171,tumor_056,,
172,tumor_058,,
173,tumor_059,,
174,tumor_060,,
175,tumor_061,,
176,tumor_064,,
177,tumor_065,,
178,tumor_066,,
179,tumor_067,,
180,tumor_068,,
181,tumor_069,,
182,tumor_070,,
183,tumor_071,,
184,tumor_073,,
185,tumor_074,,
186,tumor_075,,
187,tumor_076,,
188,tumor_077,,
189,tumor_078,,
190,tumor_080,,
191,tumor_081,,
192,tumor_082,,
193,tumor_083,,
194,tumor_084,,
195,tumor_085,,
196,tumor_087,,
197,tumor_088,,
198,tumor_089,,
199,tumor_090,,
200,tumor_091,,
201,tumor_092,,
202,tumor_093,,
203,tumor_094,,
204,tumor_095,,
205,tumor_097,,
206,tumor_098,,
207,tumor_099,,
208,tumor_100,,
209,tumor_101,,
210,tumor_103,,
211,tumor_105,,
212,tumor_106,,
213,tumor_107,,
214,tumor_109,,
215,tumor_110,,
