train,val,test
normal_128,normal_002,test_001
tumor_061,normal_007,test_002
tumor_108,normal_009,test_003
normal_137,normal_015,test_004
normal_069,normal_018,test_005
normal_143,normal_022,test_006
tumor_107,normal_023,test_007
normal_024,normal_035,test_008
tumor_045,normal_037,test_009
tumor_074,normal_039,test_010
normal_150,normal_040,test_011
normal_148,normal_049,test_012
normal_103,normal_058,test_013
tumor_068,normal_061,test_014
normal_151,normal_063,test_015
normal_057,normal_064,test_016
normal_065,normal_077,test_017
tumor_087,normal_080,test_018
tumor_083,normal_081,test_019
tumor_106,normal_089,test_020
normal_159,normal_090,test_021
normal_055,normal_092,test_022
tumor_102,normal_111,test_023
normal_059,normal_114,test_024
tumor_105,normal_117,test_025
normal_054,normal_123,test_026
normal_127,normal_133,test_027
normal_016,normal_136,test_028
tumor_072,normal_138,test_029
normal_073,normal_139,test_030
tumor_062,normal_145,test_031
normal_102,normal_160,test_032
normal_074,tumor_004,test_033
tumor_096,tumor_012,test_034
tumor_090,tumor_016,test_035
normal_071,tumor_018,test_036
normal_157,tumor_027,test_037
normal_131,tumor_036,test_038
tumor_037,tumor_039,test_039
normal_088,tumor_040,test_040
normal_147,tumor_043,test_041
tumor_019,tumor_048,test_042
tumor_101,tumor_053,test_043
tumor_084,tumor_064,test_044
tumor_089,tumor_066,test_045
tumor_049,tumor_069,test_046
tumor_026,tumor_073,test_047
tumor_071,tumor_075,test_048
tumor_009,tumor_078,test_050
normal_046,tumor_085,test_051
tumor_001,tumor_095,test_052
tumor_082,tumor_097,test_053
tumor_006,tumor_103,test_054
tumor_031,tumor_109,test_055
normal_122,,test_056
normal_149,,test_057
normal_044,,test_058
tumor_052,,test_059
normal_047,,test_060
normal_116,,test_061
tumor_047,,test_062
normal_038,,test_063
tumor_013,,test_064
tumor_094,,test_065
tumor_042,,test_066
normal_011,,test_067
normal_078,,test_068
normal_134,,test_069
normal_101,,test_070
tumor_088,,test_071
normal_026,,test_072
tumor_003,,test_073
tumor_058,,test_074
normal_153,,test_075
tumor_077,,test_076
tumor_080,,test_077
normal_079,,test_078
normal_084,,test_079
tumor_093,,test_080
normal_142,,test_081
tumor_099,,test_082
normal_072,,test_083
normal_006,,test_084
tumor_005,,test_085
normal_099,,test_086
tumor_076,,test_087
normal_107,,test_088
tumor_111,,test_089
tumor_022,,test_090
normal_110,,test_091
normal_067,,test_092
normal_032,,test_093
tumor_041,,test_094
normal_118,,test_095
normal_008,,test_096
normal_033,,test_097
normal_152,,test_098
normal_094,,test_099
normal_141,,test_100
tumor_011,,test_101
normal_113,,test_102
tumor_032,,test_103
tumor_038,,test_104
tumor_021,,test_105
normal_041,,test_106
normal_004,,test_107
normal_010,,test_108
tumor_091,,test_109
normal_121,,test_110
tumor_104,,test_111
tumor_050,,test_112
normal_036,,test_113
tumor_014,,test_114
normal_053,,test_115
tumor_100,,test_116
normal_126,,test_117
normal_109,,test_118
tumor_007,,test_119
tumor_023,,test_120
normal_052,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
