train,val,test
normal_038,normal_001,test_001
tumor_106,normal_003,test_002
tumor_094,normal_006,test_003
normal_159,normal_008,test_004
normal_011,normal_024,test_005
tumor_068,normal_026,test_006
normal_072,normal_027,test_007
normal_064,normal_045,test_008
tumor_004,normal_048,test_009
normal_015,normal_052,test_010
normal_101,normal_055,test_011
normal_002,normal_057,test_012
normal_151,normal_060,test_013
normal_063,normal_070,test_014
tumor_007,normal_073,test_015
normal_029,normal_074,test_016
tumor_021,normal_088,test_017
normal_079,normal_096,test_018
normal_092,normal_097,test_019
tumor_011,normal_099,test_020
normal_022,normal_109,test_021
tumor_080,normal_115,test_022
tumor_061,normal_119,test_023
tumor_031,normal_124,test_024
tumor_001,normal_126,test_025
tumor_037,normal_128,test_026
tumor_048,normal_132,test_027
normal_085,normal_135,test_028
tumor_039,normal_137,test_029
normal_134,normal_140,test_030
normal_028,normal_149,test_031
normal_068,normal_150,test_032
normal_018,tumor_005,test_033
tumor_103,tumor_006,test_034
normal_049,tumor_013,test_035
normal_019,tumor_015,test_036
normal_047,tumor_017,test_037
normal_043,tumor_024,test_038
tumor_076,tumor_030,test_039
normal_113,tumor_033,test_040
normal_123,tumor_038,test_041
normal_035,tumor_042,test_042
normal_017,tumor_050,test_043
normal_154,tumor_057,test_044
normal_004,tumor_062,test_045
normal_147,tumor_063,test_046
tumor_093,tumor_072,test_047
tumor_089,tumor_079,test_048
tumor_027,tumor_086,test_050
normal_129,tumor_096,test_051
normal_130,tumor_102,test_052
normal_117,tumor_104,test_053
normal_136,tumor_108,test_054
normal_030,tumor_111,test_055
tumor_047,,test_056
tumor_071,,test_057
normal_118,,test_058
tumor_091,,test_059
tumor_109,,test_060
tumor_087,,test_061
normal_025,,test_062
normal_041,,test_063
tumor_064,,test_064
tumor_049,,test_065
normal_157,,test_066
tumor_016,,test_067
tumor_088,,test_068
tumor_003,,test_069
normal_108,,test_070
tumor_100,,test_071
normal_155,,test_072
tumor_052,,test_073
normal_152,,test_074
normal_010,,test_075
tumor_073,,test_076
normal_139,,test_077
normal_093,,test_078
tumor_041,,test_079
normal_153,,test_080
normal_122,,test_081
tumor_078,,test_082
normal_040,,test_083
tumor_014,,test_084
normal_142,,test_085
normal_046,,test_086
normal_078,,test_087
normal_058,,test_088
tumor_019,,test_089
tumor_058,,test_090
tumor_069,,test_091
normal_076,,test_092
tumor_082,,test_093
tumor_083,,test_094
normal_112,,test_095
normal_094,,test_096
tumor_022,,test_097
tumor_077,,test_098
tumor_032,,test_099
normal_143,,test_100
normal_089,,test_101
normal_050,,test_102
tumor_105,,test_103
normal_053,,test_104
tumor_009,,test_105
normal_133,,test_106
normal_016,,test_107
tumor_023,,test_108
tumor_036,,test_109
tumor_045,,test_110
tumor_090,,test_111
tumor_074,,test_112
tumor_101,,test_113
normal_013,,test_114
tumor_084,,test_115
tumor_099,,test_116
normal_031,,test_117
tumor_107,,test_118
normal_145,,test_119
tumor_075,,test_120
tumor_026,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
