train,val,test
tumor_077,normal_021,test_001
normal_158,normal_028,test_002
tumor_022,normal_029,test_003
normal_002,normal_034,test_004
normal_138,normal_041,test_005
tumor_045,normal_044,test_006
tumor_050,normal_051,test_007
tumor_073,normal_054,test_008
tumor_099,normal_062,test_009
tumor_083,normal_066,test_010
normal_056,normal_067,test_011
normal_081,normal_068,test_012
tumor_009,normal_091,test_013
tumor_107,normal_095,test_014
normal_124,normal_100,test_015
tumor_076,normal_103,test_016
tumor_075,normal_106,test_017
tumor_028,normal_120,test_018
normal_026,normal_122,test_019
tumor_105,normal_127,test_020
tumor_038,normal_129,test_021
tumor_048,normal_134,test_022
tumor_069,normal_141,test_023
normal_061,normal_146,test_024
tumor_108,normal_147,test_025
normal_076,normal_151,test_026
normal_050,normal_153,test_027
tumor_100,normal_154,test_028
tumor_036,normal_156,test_029
normal_092,normal_157,test_030
normal_116,normal_159,test_031
normal_078,tumor_007,test_032
normal_004,tumor_011,test_033
tumor_097,tumor_019,test_034
normal_020,tumor_020,test_035
tumor_027,tumor_021,test_036
normal_005,tumor_025,test_037
normal_079,tumor_026,test_038
tumor_106,tumor_029,test_039
normal_042,tumor_034,test_040
tumor_058,tumor_037,test_041
normal_085,tumor_041,test_042
normal_003,tumor_046,test_043
tumor_001,tumor_047,test_044
tumor_091,tumor_049,test_045
tumor_080,tumor_054,test_046
normal_058,tumor_056,test_047
normal_011,tumor_068,test_048
tumor_003,tumor_074,test_050
tumor_087,tumor_082,test_051
normal_130,tumor_089,test_052
normal_046,tumor_090,test_053
normal_108,tumor_093,test_054
tumor_071,tumor_094,test_055
tumor_065,,test_056
tumor_006,,test_057
normal_110,,test_058
normal_019,,test_059
tumor_103,,test_060
normal_053,,test_061
normal_123,,test_062
normal_112,,test_063
tumor_016,,test_064
tumor_052,,test_065
normal_140,,test_066
tumor_032,,test_067
normal_022,,test_068
normal_105,,test_069
tumor_013,,test_070
tumor_004,,test_071
tumor_078,,test_072
normal_113,,test_073
normal_052,,test_074
tumor_101,,test_075
normal_006,,test_076
normal_111,,test_077
tumor_064,,test_078
normal_139,,test_079
tumor_039,,test_080
normal_037,,test_081
tumor_042,,test_082
normal_024,,test_083
normal_071,,test_084
normal_084,,test_085
normal_089,,test_086
normal_160,,test_087
tumor_062,,test_088
tumor_088,,test_089
tumor_109,,test_090
normal_098,,test_091
normal_045,,test_092
tumor_096,,test_093
normal_099,,test_094
tumor_102,,test_095
normal_104,,test_096
tumor_104,,test_097
normal_077,,test_098
tumor_005,,test_099
normal_049,,test_100
normal_025,,test_101
tumor_111,,test_102
normal_015,,test_103
tumor_031,,test_104
normal_143,,test_105
tumor_072,,test_106
tumor_084,,test_107
normal_030,,test_108
normal_132,,test_109
normal_109,,test_110
tumor_023,,test_111
normal_001,,test_112
normal_102,,test_113
normal_007,,test_114
normal_148,,test_115
normal_137,,test_116
tumor_061,,test_117
normal_096,,test_118
normal_125,,test_119
tumor_014,,test_120
normal_133,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
