train,val,test
normal_020,normal_004,test_001
normal_106,normal_005,test_002
tumor_094,normal_011,test_003
normal_102,normal_012,test_004
tumor_076,normal_013,test_005
normal_066,normal_016,test_006
normal_103,normal_017,test_007
normal_070,normal_025,test_008
normal_027,normal_030,test_009
normal_130,normal_038,test_010
normal_068,normal_047,test_011
tumor_001,normal_053,test_012
normal_077,normal_056,test_013
tumor_075,normal_059,test_014
tumor_111,normal_076,test_015
normal_139,normal_078,test_016
normal_029,normal_079,test_017
normal_031,normal_082,test_018
tumor_096,normal_087,test_019
tumor_037,normal_093,test_020
normal_147,normal_098,test_021
normal_039,normal_104,test_022
normal_101,normal_108,test_023
tumor_004,normal_110,test_024
tumor_072,normal_113,test_025
tumor_031,normal_116,test_026
normal_107,normal_125,test_027
tumor_050,normal_142,test_028
normal_136,normal_144,test_029
tumor_061,normal_152,test_030
tumor_052,normal_155,test_031
normal_111,normal_158,test_032
normal_042,tumor_003,test_033
tumor_041,tumor_008,test_034
normal_061,tumor_009,test_035
tumor_006,tumor_010,test_036
tumor_084,tumor_022,test_037
normal_033,tumor_023,test_038
normal_153,tumor_028,test_039
normal_044,tumor_035,test_040
normal_001,tumor_051,test_041
tumor_005,tumor_055,test_042
normal_034,tumor_058,test_043
normal_008,tumor_067,test_044
tumor_100,tumor_070,test_045
normal_151,tumor_071,test_046
normal_092,tumor_077,test_047
normal_159,tumor_080,test_048
normal_137,tumor_087,test_050
tumor_078,tumor_091,test_051
tumor_038,tumor_092,test_052
tumor_013,tumor_099,test_053
normal_049,tumor_105,test_054
normal_160,tumor_106,test_055
normal_145,,test_056
normal_124,,test_057
tumor_007,,test_058
normal_028,,test_059
tumor_082,,test_060
tumor_108,,test_061
tumor_021,,test_062
tumor_036,,test_063
normal_095,,test_064
tumor_102,,test_065
tumor_089,,test_066
normal_019,,test_067
tumor_019,,test_068
tumor_026,,test_069
tumor_016,,test_070
normal_045,,test_071
tumor_049,,test_072
tumor_093,,test_073
normal_138,,test_074
normal_115,,test_075
normal_022,,test_076
normal_148,,test_077
tumor_068,,test_078
tumor_069,,test_079
normal_036,,test_080
tumor_104,,test_081
tumor_101,,test_082
tumor_083,,test_083
tumor_042,,test_084
normal_099,,test_085
normal_074,,test_086
normal_134,,test_087
normal_127,,test_088
normal_100,,test_089
tumor_074,,test_090
normal_063,,test_091
normal_140,,test_092
tumor_027,,test_093
normal_135,,test_094
tumor_103,,test_095
tumor_064,,test_096
tumor_073,,test_097
tumor_090,,test_098
tumor_039,,test_099
tumor_048,,test_100
tumor_107,,test_101
normal_085,,test_102
tumor_045,,test_103
tumor_014,,test_104
normal_073,,test_105
normal_091,,test_106
normal_094,,test_107
normal_043,,test_108
tumor_088,,test_109
normal_023,,test_110
normal_064,,test_111
tumor_109,,test_112
normal_067,,test_113
normal_007,,test_114
normal_089,,test_115
normal_055,,test_116
tumor_047,,test_117
tumor_062,,test_118
tumor_011,,test_119
tumor_032,,test_120
normal_128,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
