train,val,test
tumor_003,normal_010,test_001
tumor_093,normal_014,test_002
tumor_097,normal_019,test_003
tumor_074,normal_020,test_004
normal_134,normal_031,test_005
normal_067,normal_032,test_006
normal_116,normal_033,test_007
tumor_047,normal_036,test_008
tumor_078,normal_042,test_009
tumor_011,normal_043,test_010
normal_156,normal_046,test_011
tumor_077,normal_050,test_012
normal_070,normal_065,test_013
normal_132,normal_069,test_014
tumor_036,normal_071,test_015
normal_034,normal_072,test_016
tumor_048,normal_075,test_017
normal_155,normal_083,test_018
tumor_041,normal_084,test_019
tumor_111,normal_085,test_020
normal_106,normal_094,test_021
normal_091,normal_101,test_022
tumor_005,normal_102,test_023
tumor_022,normal_105,test_024
tumor_064,normal_107,test_025
normal_053,normal_112,test_026
normal_041,normal_118,test_027
normal_029,normal_121,test_028
tumor_071,normal_130,test_029
tumor_027,normal_131,test_030
normal_001,normal_143,test_031
normal_113,normal_148,test_032
tumor_091,tumor_001,test_033
normal_159,tumor_002,test_034
normal_079,tumor_014,test_035
tumor_089,tumor_031,test_036
normal_062,tumor_032,test_037
normal_152,tumor_044,test_038
normal_064,tumor_045,test_039
tumor_023,tumor_052,test_040
normal_039,tumor_059,test_041
normal_139,tumor_060,test_042
normal_140,tumor_061,test_043
normal_068,tumor_065,test_044
tumor_099,tumor_076,test_045
normal_115,tumor_081,test_046
tumor_105,tumor_083,test_047
tumor_050,tumor_084,test_048
tumor_004,tumor_088,test_050
tumor_009,tumor_098,test_051
tumor_026,tumor_100,test_052
normal_015,tumor_101,test_053
tumor_068,tumor_107,test_054
tumor_106,tumor_110,test_055
normal_048,,test_056
normal_022,,test_057
normal_016,,test_058
normal_006,,test_059
normal_035,,test_060
tumor_042,,test_061
tumor_021,,test_062
normal_145,,test_063
tumor_090,,test_064
normal_003,,test_065
tumor_049,,test_066
tumor_109,,test_067
tumor_062,,test_068
normal_149,,test_069
tumor_039,,test_070
normal_096,,test_071
normal_111,,test_072
normal_027,,test_073
tumor_082,,test_074
tumor_094,,test_075
normal_150,,test_076
normal_109,,test_077
tumor_058,,test_078
normal_153,,test_079
normal_012,,test_080
tumor_087,,test_081
normal_158,,test_082
normal_013,,test_083
tumor_007,,test_084
normal_011,,test_085
normal_059,,test_086
normal_087,,test_087
tumor_096,,test_088
tumor_037,,test_089
tumor_072,,test_090
normal_129,,test_091
tumor_019,,test_092
tumor_080,,test_093
normal_100,,test_094
tumor_069,,test_095
normal_076,,test_096
tumor_102,,test_097
normal_030,,test_098
normal_095,,test_099
normal_063,,test_100
normal_157,,test_101
tumor_073,,test_102
normal_044,,test_103
tumor_108,,test_104
normal_099,,test_105
tumor_038,,test_106
normal_137,,test_107
tumor_016,,test_108
normal_098,,test_109
tumor_104,,test_110
normal_009,,test_111
normal_052,,test_112
normal_060,,test_113
normal_081,,test_114
tumor_006,,test_115
normal_142,,test_116
normal_117,,test_117
tumor_013,,test_118
normal_080,,test_119
tumor_103,,test_120
tumor_075,,test_121
,,test_122
,,test_123
,,test_124
,,test_125
,,test_126
,,test_127
,,test_128
,,test_129
,,test_130
