train,val,test
normal_152,normal_001,test_001
tumor_078,normal_003,test_002
tumor_076,normal_006,test_003
normal_129,normal_008,test_004
tumor_002,normal_024,test_005
normal_014,normal_026,test_006
tumor_077,normal_027,test_007
normal_021,normal_045,test_008
normal_100,normal_048,test_009
normal_151,normal_052,test_010
normal_153,normal_055,test_011
normal_098,normal_057,test_012
normal_004,normal_060,test_013
normal_080,normal_070,test_014
tumor_032,normal_073,test_015
tumor_043,normal_074,test_016
normal_063,normal_088,test_017
normal_110,normal_096,test_018
tumor_071,normal_097,test_019
normal_158,normal_099,test_020
normal_160,normal_109,test_021
normal_065,normal_115,test_022
normal_116,normal_119,test_023
tumor_060,normal_124,test_024
normal_009,normal_126,test_025
tumor_053,normal_128,test_026
normal_105,normal_132,test_027
tumor_064,normal_135,test_028
tumor_014,normal_137,test_029
tumor_048,normal_140,test_030
tumor_061,normal_149,test_031
normal_127,normal_150,test_032
normal_142,tumor_005,test_033
normal_090,tumor_006,test_034
tumor_080,tumor_013,test_035
normal_033,tumor_015,test_036
normal_036,tumor_017,test_037
normal_087,tumor_024,test_038
normal_047,tumor_030,test_039
normal_156,tumor_033,test_040
tumor_101,tumor_038,test_041
normal_114,tumor_042,test_042
tumor_031,tumor_050,test_043
normal_037,tumor_057,test_044
normal_050,tumor_062,test_045
normal_104,tumor_063,test_046
tumor_035,tumor_072,test_047
tumor_075,tumor_079,test_048
tumor_039,tumor_086,test_050
normal_056,tumor_096,test_051
normal_058,tumor_102,test_052
normal_069,tumor_104,test_053
normal_136,tumor_108,test_054
tumor_011,tumor_111,test_055
tumor_022,,test_056
normal_121,,test_057
tumor_007,,test_058
normal_062,,test_059
normal_091,,test_060
normal_078,,test_061
normal_013,,test_062
normal_076,,test_063
normal_131,,test_064
normal_155,,test_065
tumor_091,,test_066
tumor_023,,test_067
tumor_090,,test_068
tumor_065,,test_069
normal_071,,test_070
normal_012,,test_071
normal_034,,test_072
normal_082,,test_073
normal_035,,test_074
normal_077,,test_075
normal_028,,test_076
normal_002,,test_077
normal_146,,test_078
tumor_107,,test_079
normal_015,,test_080
normal_016,,test_081
tumor_028,,test_082
normal_046,,test_083
normal_044,,test_084
normal_120,,test_085
normal_134,,test_086
normal_043,,test_087
normal_061,,test_088
normal_083,,test_089
tumor_087,,test_090
normal_092,,test_091
normal_139,,test_092
tumor_081,,test_093
normal_102,,test_094
tumor_049,,test_095
normal_101,,test_096
normal_085,,test_097
normal_064,,test_098
tumor_009,,test_099
normal_075,,test_100
normal_118,,test_101
normal_053,,test_102
tumor_069,,test_103
tumor_084,,test_104
tumor_103,,test_105
tumor_098,,test_106
normal_154,,test_107
normal_130,,test_108
normal_103,,test_109
tumor_027,,test_110
tumor_070,,test_111
normal_031,,test_112
tumor_012,,test_113
normal_145,,test_114
tumor_105,,test_115
tumor_066,,test_116
normal_023,,test_117
normal_005,,test_118
tumor_052,,test_119
normal_157,,test_120
tumor_019,,test_121
tumor_008,,test_122
normal_159,,test_123
normal_051,,test_124
normal_148,,test_125
tumor_016,,test_126
normal_123,,test_127
tumor_088,,test_128
normal_020,,test_129
normal_039,,test_130
tumor_047,,
normal_040,,
normal_122,,
tumor_026,,
tumor_100,,
normal_117,,
tumor_045,,
normal_017,,
tumor_089,,
tumor_040,,
normal_079,,
normal_072,,
tumor_097,,
normal_138,,
tumor_001,,
tumor_059,,
normal_066,,
tumor_093,,
tumor_109,,
tumor_004,,
normal_133,,
normal_111,,
tumor_021,,
tumor_106,,
tumor_041,,
normal_010,,
tumor_099,,
normal_038,,
tumor_083,,
tumor_082,,
tumor_037,,
tumor_036,,
normal_041,,
normal_112,,
tumor_074,,
normal_108,,
normal_067,,
normal_030,,
tumor_058,,
normal_049,,
tumor_003,,
tumor_094,,
normal_144,,
tumor_068,,
tumor_073,,
