train,val,test
tumor_006,normal_021,test_001
normal_036,normal_028,test_002
normal_033,normal_029,test_003
normal_045,normal_034,test_004
tumor_036,normal_041,test_005
normal_145,normal_044,test_006
normal_020,normal_051,test_007
normal_139,normal_054,test_008
normal_113,normal_062,test_009
normal_119,normal_066,test_010
tumor_024,normal_067,test_011
normal_039,normal_068,test_012
normal_019,normal_091,test_013
normal_111,normal_095,test_014
normal_133,normal_100,test_015
normal_138,normal_103,test_016
normal_131,normal_106,test_017
tumor_053,normal_120,test_018
normal_057,normal_122,test_019
tumor_070,normal_127,test_020
normal_030,normal_129,test_021
tumor_009,normal_134,test_022
tumor_045,normal_141,test_023
normal_069,normal_146,test_024
tumor_066,normal_147,test_025
normal_048,normal_151,test_026
tumor_050,normal_153,test_027
normal_009,normal_154,test_028
normal_024,normal_156,test_029
normal_099,normal_157,test_030
normal_049,normal_159,test_031
tumor_072,tumor_007,test_032
normal_007,tumor_011,test_033
normal_080,tumor_019,test_034
tumor_076,tumor_020,test_035
normal_026,tumor_021,test_036
normal_117,tumor_025,test_037
tumor_048,tumor_026,test_038
tumor_017,tumor_029,test_039
tumor_027,tumor_034,test_040
normal_126,tumor_037,test_041
tumor_031,tumor_041,test_042
normal_003,tumor_046,test_043
tumor_058,tumor_047,test_044
normal_112,tumor_049,test_045
normal_089,tumor_054,test_046
normal_081,tumor_056,test_047
tumor_062,tumor_068,test_048
normal_097,tumor_074,test_050
normal_115,tumor_082,test_051
normal_076,tumor_089,test_052
normal_107,tumor_090,test_053
tumor_104,tumor_093,test_054
tumor_001,tumor_094,test_055
normal_023,,test_056
tumor_100,,test_057
normal_018,,test_058
tumor_091,,test_059
normal_015,,test_060
normal_085,,test_061
tumor_040,,test_062
tumor_002,,test_063
normal_101,,test_064
normal_155,,test_065
normal_140,,test_066
tumor_102,,test_067
normal_104,,test_068
normal_032,,test_069
normal_042,,test_070
normal_016,,test_071
tumor_109,,test_072
tumor_103,,test_073
normal_135,,test_074
tumor_014,,test_075
normal_160,,test_076
tumor_080,,test_077
normal_005,,test_078
normal_001,,test_079
tumor_023,,test_080
tumor_039,,test_081
tumor_088,,test_082
tumor_078,,test_083
normal_109,,test_084
normal_125,,test_085
normal_031,,test_086
tumor_083,,test_087
normal_098,,test_088
tumor_111,,test_089
normal_116,,test_090
tumor_043,,test_091
tumor_081,,test_092
tumor_003,,test_093
normal_061,,test_094
tumor_075,,test_095
tumor_084,,test_096
normal_065,,test_097
tumor_057,,test_098
tumor_032,,test_099
normal_105,,test_100
normal_040,,test_101
normal_110,,test_102
tumor_077,,test_103
normal_121,,test_104
normal_064,,test_105
tumor_097,,test_106
normal_012,,test_107
tumor_063,,test_108
tumor_035,,test_109
normal_043,,test_110
tumor_099,,test_111
normal_070,,test_112
normal_052,,test_113
tumor_038,,test_114
normal_060,,test_115
tumor_105,,test_116
tumor_052,,test_117
tumor_107,,test_118
tumor_073,,test_119
tumor_059,,test_120
normal_038,,test_121
tumor_096,,test_122
tumor_106,,test_123
tumor_086,,test_124
normal_078,,test_125
normal_124,,test_126
normal_071,,test_127
tumor_064,,test_128
normal_074,,test_129
normal_077,,test_130
normal_037,,
normal_055,,
normal_056,,
normal_132,,
normal_096,,
normal_059,,
tumor_008,,
normal_128,,
tumor_030,,
normal_137,,
normal_058,,
normal_136,,
normal_013,,
tumor_098,,
normal_053,,
normal_006,,
tumor_013,,
normal_027,,
tumor_005,,
normal_008,,
normal_079,,
tumor_042,,
tumor_022,,
tumor_012,,
normal_150,,
normal_072,,
normal_152,,
normal_158,,
tumor_061,,
tumor_087,,
normal_090,,
tumor_016,,
tumor_060,,
tumor_101,,
normal_046,,
tumor_108,,
normal_075,,
normal_082,,
normal_148,,
tumor_071,,
normal_142,,
tumor_028,,
tumor_065,,
tumor_004,,
normal_144,,
normal_083,,
normal_093,,
tumor_069,,
