train,val,test
normal_117,normal_004,test_001
normal_033,normal_005,test_002
normal_048,normal_011,test_003
normal_096,normal_012,test_004
normal_051,normal_013,test_005
normal_043,normal_016,test_006
normal_095,normal_017,test_007
tumor_049,normal_025,test_008
tumor_011,normal_030,test_009
tumor_057,normal_038,test_010
normal_060,normal_047,test_011
tumor_021,normal_053,test_012
tumor_090,normal_056,test_013
tumor_042,normal_059,test_014
normal_091,normal_076,test_015
normal_085,normal_078,test_016
tumor_088,normal_079,test_017
tumor_012,normal_082,test_018
normal_149,normal_087,test_019
tumor_101,normal_093,test_020
normal_112,normal_098,test_021
tumor_083,normal_104,test_022
normal_081,normal_108,test_023
tumor_013,normal_110,test_024
normal_097,normal_113,test_025
normal_022,normal_116,test_026
tumor_043,normal_125,test_027
normal_055,normal_142,test_028
normal_074,normal_144,test_029
tumor_016,normal_152,test_030
tumor_053,normal_155,test_031
tumor_037,normal_158,test_032
normal_057,tumor_003,test_033
tumor_065,tumor_008,test_034
normal_136,tumor_009,test_035
tumor_030,tumor_010,test_036
normal_006,tumor_022,test_037
normal_146,tumor_023,test_038
tumor_017,tumor_028,test_039
normal_001,tumor_035,test_040
normal_119,tumor_051,test_041
tumor_050,tumor_055,test_042
tumor_102,tumor_058,test_043
tumor_097,tumor_067,test_044
normal_150,tumor_070,test_045
normal_061,tumor_071,test_046
tumor_109,tumor_077,test_047
normal_034,tumor_080,test_048
tumor_032,tumor_087,test_050
normal_066,tumor_091,test_051
normal_131,tumor_092,test_052
normal_029,tumor_099,test_053
tumor_098,tumor_105,test_054
normal_008,tumor_106,test_055
normal_114,,test_056
normal_046,,test_057
tumor_082,,test_058
normal_015,,test_059
normal_003,,test_060
tumor_108,,test_061
tumor_026,,test_062
tumor_068,,test_063
tumor_027,,test_064
tumor_093,,test_065
tumor_062,,test_066
normal_026,,test_067
normal_021,,test_068
normal_153,,test_069
tumor_072,,test_070
tumor_060,,test_071
tumor_069,,test_072
normal_121,,test_073
tumor_048,,test_074
tumor_073,,test_075
tumor_047,,test_076
tumor_024,,test_077
normal_028,,test_078
normal_065,,test_079
normal_132,,test_080
tumor_019,,test_081
tumor_086,,test_082
tumor_078,,test_083
normal_049,,test_084
normal_036,,test_085
tumor_005,,test_086
normal_062,,test_087
normal_083,,test_088
normal_143,,test_089
tumor_089,,test_090
normal_141,,test_091
normal_137,,test_092
normal_128,,test_093
normal_140,,test_094
normal_019,,test_095
normal_020,,test_096
normal_054,,test_097
tumor_045,,test_098
normal_148,,test_099
normal_160,,test_100
tumor_066,,test_101
normal_077,,test_102
tumor_084,,test_103
tumor_007,,test_104
tumor_059,,test_105
tumor_074,,test_106
normal_023,,test_107
normal_063,,test_108
normal_123,,test_109
normal_050,,test_110
normal_115,,test_111
normal_039,,test_112
normal_120,,test_113
normal_124,,test_114
tumor_064,,test_115
tumor_103,,test_116
normal_099,,test_117
normal_135,,test_118
tumor_104,,test_119
tumor_014,,test_120
normal_154,,test_121
normal_064,,test_122
normal_105,,test_123
normal_111,,test_124
tumor_031,,test_125
normal_014,,test_126
tumor_076,,test_127
normal_094,,test_128
normal_129,,test_129
tumor_107,,test_130
normal_009,,
tumor_006,,
tumor_096,,
normal_118,,
tumor_036,,
normal_052,,
tumor_052,,
normal_122,,
normal_073,,
tumor_063,,
tumor_061,,
normal_080,,
tumor_075,,
tumor_081,,
normal_024,,
tumor_094,,
normal_100,,
tumor_002,,
normal_002,,
tumor_040,,
tumor_039,,
normal_075,,
normal_139,,
normal_159,,
tumor_041,,
normal_127,,
normal_157,,
normal_145,,
normal_126,,
normal_072,,
tumor_001,,
normal_138,,
normal_042,,
normal_041,,
normal_067,,
normal_103,,
tumor_038,,
normal_133,,
tumor_004,,
tumor_100,,
normal_088,,
normal_101,,
normal_084,,
tumor_111,,
normal_102,,
normal_151,,
normal_134,,
