train,val,test
normal_099,normal_010,test_001
normal_142,normal_014,test_002
normal_119,normal_019,test_003
normal_029,normal_020,test_004
tumor_036,normal_031,test_005
normal_132,normal_032,test_006
normal_098,normal_033,test_007
tumor_043,normal_036,test_008
tumor_038,normal_042,test_009
normal_100,normal_043,test_010
normal_140,normal_046,test_011
tumor_093,normal_050,test_012
tumor_105,normal_065,test_013
tumor_057,normal_069,test_014
normal_156,normal_071,test_015
normal_096,normal_072,test_016
tumor_008,normal_075,test_017
tumor_003,normal_083,test_018
normal_145,normal_084,test_019
normal_158,normal_085,test_020
normal_106,normal_094,test_021
normal_123,normal_101,test_022
tumor_047,normal_102,test_023
normal_041,normal_105,test_024
normal_035,normal_107,test_025
tumor_063,normal_112,test_026
tumor_030,normal_118,test_027
normal_108,normal_121,test_028
normal_048,normal_130,test_029
normal_027,normal_131,test_030
normal_103,normal_143,test_031
normal_070,normal_148,test_032
tumor_013,tumor_001,test_033
tumor_091,tumor_002,test_034
normal_088,tumor_014,test_035
tumor_009,tumor_031,test_036
tumor_058,tumor_032,test_037
normal_120,tumor_044,test_038
normal_034,tumor_045,test_039
normal_137,tumor_052,test_040
tumor_019,tumor_059,test_041
normal_038,tumor_060,test_042
normal_049,tumor_061,test_043
tumor_073,tumor_065,test_044
tumor_097,tumor_076,test_045
tumor_068,tumor_081,test_046
normal_124,tumor_083,test_047
tumor_108,tumor_084,test_048
tumor_075,tumor_088,test_050
normal_040,tumor_098,test_051
normal_079,tumor_100,test_052
tumor_016,tumor_101,test_053
tumor_077,tumor_107,test_054
normal_122,tumor_110,test_055
normal_068,,test_056
tumor_106,,test_057
tumor_017,,test_058
tumor_053,,test_059
tumor_080,,test_060
normal_063,,test_061
tumor_024,,test_062
tumor_004,,test_063
normal_017,,test_064
normal_104,,test_065
normal_005,,test_066
normal_129,,test_067
normal_097,,test_068
tumor_078,,test_069
tumor_039,,test_070
normal_012,,test_071
normal_007,,test_072
normal_152,,test_073
tumor_082,,test_074
tumor_012,,test_075
normal_011,,test_076
tumor_094,,test_077
normal_113,,test_078
normal_006,,test_079
normal_116,,test_080
tumor_072,,test_081
normal_047,,test_082
normal_056,,test_083
normal_126,,test_084
tumor_090,,test_085
normal_144,,test_086
normal_067,,test_087
normal_082,,test_088
normal_030,,test_089
tumor_071,,test_090
normal_064,,test_091
tumor_069,,test_092
tumor_021,,test_093
normal_003,,test_094
normal_114,,test_095
tumor_099,,test_096
normal_110,,test_097
normal_024,,test_098
tumor_103,,test_099
tumor_042,,test_100
normal_059,,test_101
tumor_086,,test_102
normal_009,,test_103
normal_018,,test_104
normal_015,,test_105
normal_128,,test_106
tumor_037,,test_107
normal_023,,test_108
normal_135,,test_109
normal_061,,test_110
normal_066,,test_111
normal_008,,test_112
tumor_022,,test_113
normal_053,,test_114
normal_073,,test_115
normal_157,,test_116
normal_125,,test_117
normal_111,,test_118
tumor_026,,test_119
normal_154,,test_120
tumor_109,,test_121
normal_022,,test_122
tumor_074,,test_123
tumor_087,,test_124
tumor_102,,test_125
normal_078,,test_126
tumor_070,,test_127
tumor_027,,test_128
tumor_040,,test_129
tumor_111,,test_130
normal_044,,
tumor_048,,
tumor_005,,
normal_155,,
tumor_011,,
normal_159,,
tumor_041,,
normal_016,,
normal_001,,
normal_160,,
tumor_023,,
normal_141,,
normal_013,,
normal_055,,
normal_039,,
normal_051,,
normal_133,,
normal_146,,
normal_025,,
normal_117,,
normal_089,,
tumor_062,,
normal_028,,
normal_002,,
tumor_049,,
normal_091,,
normal_060,,
tumor_066,,
tumor_050,,
tumor_104,,
tumor_007,,
normal_150,,
normal_062,,
tumor_006,,
normal_045,,
normal_127,,
normal_153,,
tumor_096,,
tumor_089,,
normal_136,,
tumor_035,,
tumor_064,,
normal_092,,
tumor_028,,
